,ID
0,CPCT02010003T
1,CPCT02010022T
2,CPCT02010035T
3,CPCT02010037T
4,CPCT02010043T
5,CPCT02010050T
6,CPCT02010063T
7,CPCT02010110TIII
8,CPCT02010122T
9,CPCT02010123T
10,CPCT02010134T
11,CPCT02010173T
12,CPCT02010214TIII
13,CPCT02010227T
14,CPCT02010233T
15,CPCT02010238T
16,CPCT02010240T
17,CPCT02010246T
18,CPCT02010249T
19,CPCT02010250T
20,CPCT02010252T
21,CPCT02010255T
22,CPCT02010255TII
23,CPCT02010256TII
24,CPCT02010257T
25,CPCT02010260T
26,CPCT02010262T
27,CPCT02010263T
28,CPCT02010266T
29,CPCT02010267TII
30,CPCT02010267TIII
31,CPCT02010269T
32,CPCT02010272T
33,CPCT02010273T
34,CPCT02010276T
35,CPCT02010276TII
36,CPCT02010281T
37,CPCT02010288T
38,CPCT02010288TII
39,CPCT02010289T
40,CPCT02010290T
41,CPCT02010291TII
42,CPCT02010292TII
43,CPCT02010298T
44,CPCT02010299T
45,CPCT02010300T
46,CPCT02010312TII
47,CPCT02010313T
48,CPCT02010320T
49,CPCT02010324T
50,CPCT02010325T
51,CPCT02010326TII
52,CPCT02010329T
53,CPCT02010333TII
54,CPCT02010334T
55,CPCT02010335T
56,CPCT02010336T
57,CPCT02010337T
58,CPCT02010337TII
59,CPCT02010338T
60,CPCT02010340T
61,CPCT02010344TII
62,CPCT02010346T
63,CPCT02010347T
64,CPCT02010347TII
65,CPCT02010349T
66,CPCT02010351T
67,CPCT02010356T
68,CPCT02010359T
69,CPCT02010359TII
70,CPCT02010361T
71,CPCT02010369T
72,CPCT02010370T
73,CPCT02010371T
74,CPCT02010372T
75,CPCT02010373T
76,CPCT02010382TII
77,CPCT02010386T
78,CPCT02010389T
79,CPCT02010392T
80,CPCT02010393T
81,CPCT02010393TII
82,CPCT02010397T
83,CPCT02010398T
84,CPCT02010399T
85,CPCT02010401T
86,CPCT02010403T
87,CPCT02010403TII
88,CPCT02010406TII
89,CPCT02010407T
90,CPCT02010408T
91,CPCT02010408TII
92,CPCT02010409T
93,CPCT02010414T
94,CPCT02010415T
95,CPCT02010419T
96,CPCT02010422T
97,CPCT02010424T
98,CPCT02010427T
99,CPCT02010429T
100,CPCT02010433T
101,CPCT02010434T
102,CPCT02010436T
103,CPCT02010439T
104,CPCT02010440T
105,CPCT02010447T
106,CPCT02010450T
107,CPCT02010450TII
108,CPCT02010451T
109,CPCT02010452T
110,CPCT02010455T
111,CPCT02010458T
112,CPCT02010461T
113,CPCT02010468T
114,CPCT02010469T
115,CPCT02010471T
116,CPCT02010473T
117,CPCT02010474T
118,CPCT02010477T
119,CPCT02010478T
120,CPCT02010478TII
121,CPCT02010481T
122,CPCT02010483T
123,CPCT02010485T
124,CPCT02010486T
125,CPCT02010488T
126,CPCT02010490T
127,CPCT02010493T
128,CPCT02010494T
129,CPCT02010497T
130,CPCT02010500T
131,CPCT02010501T
132,CPCT02010503T
133,CPCT02010503TII
134,CPCT02010504T
135,CPCT02010505T
136,CPCT02010506T
137,CPCT02010507T
138,CPCT02010508T
139,CPCT02010509T
140,CPCT02010512T
141,CPCT02010514T
142,CPCT02010517T
143,CPCT02010518T
144,CPCT02010520T
145,CPCT02010521T
146,CPCT02010523T
147,CPCT02010524T
148,CPCT02010526T
149,CPCT02010528T
150,CPCT02010529T
151,CPCT02010530T
152,CPCT02010531T
153,CPCT02010532T
154,CPCT02010533T
155,CPCT02010534T
156,CPCT02010535T
157,CPCT02010536T
158,CPCT02010537T
159,CPCT02010541T
160,CPCT02010543T
161,CPCT02010545T
162,CPCT02010547T
163,CPCT02010548T
164,CPCT02010549T
165,CPCT02010550T
166,CPCT02010554T
167,CPCT02010555T
168,CPCT02010557T
169,CPCT02010559T
170,CPCT02010565T
171,CPCT02010567T
172,CPCT02010567TII
173,CPCT02010569T
174,CPCT02010572T
175,CPCT02010576T
176,CPCT02010577T
177,CPCT02010579T
178,CPCT02010585T
179,CPCT02010587T
180,CPCT02010589T
181,CPCT02010590T
182,CPCT02010591T
183,CPCT02010593T
184,CPCT02010595T
185,CPCT02010598T
186,CPCT02010599T
187,CPCT02010600T
188,CPCT02010603T
189,CPCT02010604T
190,CPCT02010605T
191,CPCT02010606T
192,CPCT02010607T
193,CPCT02010612T
194,CPCT02010613T
195,CPCT02010614T
196,CPCT02010621T
197,CPCT02010622T
198,CPCT02010623T
199,CPCT02010624T
200,CPCT02010625T
201,CPCT02010628T
202,CPCT02010629T
203,CPCT02010632T
204,CPCT02010633T
205,CPCT02010635T
206,CPCT02010639T
207,CPCT02010641TII
208,CPCT02010643T
209,CPCT02010646T
210,CPCT02010648T
211,CPCT02010649T
212,CPCT02010654T
213,CPCT02010655T
214,CPCT02010658T
215,CPCT02010661T
216,CPCT02010662T
217,CPCT02010663T
218,CPCT02010665T
219,CPCT02010666T
220,CPCT02010667T
221,CPCT02010674T
222,CPCT02010678T
223,CPCT02010679T
224,CPCT02010680T
225,CPCT02010682T
226,CPCT02010683T
227,CPCT02010687T
228,CPCT02010688T
229,CPCT02010690T
230,CPCT02010691T
231,CPCT02010692T
232,CPCT02010692TII
233,CPCT02010694T
234,CPCT02010695T
235,CPCT02010698T
236,CPCT02010700T
237,CPCT02010706T
238,CPCT02010708T
239,CPCT02010710T
240,CPCT02010711T
241,CPCT02010712T
242,CPCT02010715T
243,CPCT02010716T
244,CPCT02010720T
245,CPCT02010721T
246,CPCT02010722T
247,CPCT02010722TII
248,CPCT02010726T
249,CPCT02010727T
250,CPCT02010728T
251,CPCT02010730T
252,CPCT02010731T
253,CPCT02010732T
254,CPCT02010735T
255,CPCT02010738T
256,CPCT02010741T
257,CPCT02010742T
258,CPCT02010743T
259,CPCT02010746T
260,CPCT02010747T
261,CPCT02010750T
262,CPCT02010750TII
263,CPCT02010751T
264,CPCT02010752T
265,CPCT02010753T
266,CPCT02010754T
267,CPCT02010754TII
268,CPCT02010757T
269,CPCT02010758T
270,CPCT02010760T
271,CPCT02010762T
272,CPCT02010765T
273,CPCT02010768T
274,CPCT02010769T
275,CPCT02010772T
276,CPCT02010773T
277,CPCT02010774T
278,CPCT02010776T
279,CPCT02010776TII
280,CPCT02010779T
281,CPCT02010780T
282,CPCT02010781T
283,CPCT02010786T
284,CPCT02010790T
285,CPCT02010791T
286,CPCT02010794T
287,CPCT02010797T
288,CPCT02010801T
289,CPCT02010802T
290,CPCT02010807T
291,CPCT02010811T
292,CPCT02010813T
293,CPCT02010815T
294,CPCT02010824T
295,CPCT02010825T
296,CPCT02010833T
297,CPCT02010835T
298,CPCT02010838T
299,CPCT02010839T
300,CPCT02010840T
301,CPCT02010841T
302,CPCT02010842T
303,CPCT02010843T
304,CPCT02010846T
305,CPCT02010847T
306,CPCT02010849T
307,CPCT02010852T
308,CPCT02010853T
309,CPCT02010856T
310,CPCT02010857T
311,CPCT02010858T
312,CPCT02010863T
313,CPCT02010865T
314,CPCT02010866T
315,CPCT02010866TII
316,CPCT02010867T
317,CPCT02010870T
318,CPCT02010873T
319,CPCT02010874T
320,CPCT02010875T
321,CPCT02010877T
322,CPCT02010880T
323,CPCT02010884T
324,CPCT02010885T
325,CPCT02010886T
326,CPCT02010889T
327,CPCT02010890T
328,CPCT02010891T
329,CPCT02010894T
330,CPCT02010894TII
331,CPCT02010895T
332,CPCT02010896T
333,CPCT02010898T
334,CPCT02010900T
335,CPCT02010901T
336,CPCT02010903T
337,CPCT02010904T
338,CPCT02010907T
339,CPCT02010911T
340,CPCT02010913T
341,CPCT02010914T
342,CPCT02010915T
343,CPCT02010918T
344,CPCT02010924T
345,CPCT02010925T
346,CPCT02010926T
347,CPCT02010927T
348,CPCT02010931T
349,CPCT02010933T
350,CPCT02010934T
351,CPCT02010935T
352,CPCT02010936T
353,CPCT02010938T
354,CPCT02010939T
355,CPCT02010940T
356,CPCT02010941T
357,CPCT02010942TII
358,CPCT02010944T
359,CPCT02010944TIII
360,CPCT02010945T
361,CPCT02010947T
362,CPCT02010953T
363,CPCT02010954T
364,CPCT02010955T
365,CPCT02010958T
366,CPCT02010963T
367,CPCT02010963TII
368,CPCT02010965T
369,CPCT02010966T
370,CPCT02010966TII
371,CPCT02010967T
372,CPCT02010969T
373,CPCT02010971T
374,CPCT02010972T
375,CPCT02010973T
376,CPCT02010976T
377,CPCT02010977T
378,CPCT02010978T
379,CPCT02010979T
380,CPCT02010980T
381,CPCT02010981T
382,CPCT02010982T
383,CPCT02010984T
384,CPCT02010985T
385,CPCT02010986T
386,CPCT02010988T
387,CPCT02010989T
388,CPCT02010990T
389,CPCT02010994T
390,CPCT02010998T
391,CPCT02011000T
392,CPCT02011001T
393,CPCT02011002T
394,CPCT02011003T
395,CPCT02011004T
396,CPCT02011005T
397,CPCT02011006T
398,CPCT02011008T
399,CPCT02011009T
400,CPCT02011010T
401,CPCT02011011T
402,CPCT02011012T
403,CPCT02011013T
404,CPCT02011015T
405,CPCT02011017T
406,CPCT02011018T
407,CPCT02011019T
408,CPCT02011020T
409,CPCT02011021T
410,CPCT02011022T
411,CPCT02011025T
412,CPCT02011029T
413,CPCT02011031T
414,CPCT02011032T
415,CPCT02011035T
416,CPCT02011036T
417,CPCT02011037T
418,CPCT02011038T
419,CPCT02011040T
420,CPCT02011040TII
421,CPCT02011042T
422,CPCT02011043T
423,CPCT02011044T
424,CPCT02011045T
425,CPCT02011045TII
426,CPCT02011046T
427,CPCT02011047T
428,CPCT02011050T
429,CPCT02011051T
430,CPCT02011052T
431,CPCT02011053T
432,CPCT02011055T
433,CPCT02011056T
434,CPCT02011057T
435,CPCT02011058T
436,CPCT02011059T
437,CPCT02011065T
438,CPCT02011067T
439,CPCT02011068T
440,CPCT02011069T
441,CPCT02011070T
442,CPCT02011071T
443,CPCT02011072T
444,CPCT02011073T
445,CPCT02011074T
446,CPCT02011077T
447,CPCT02011079T
448,CPCT02011080T
449,CPCT02011082T
450,CPCT02011086T
451,CPCT02011087T
452,CPCT02011088T
453,CPCT02011089T
454,CPCT02011089TII
455,CPCT02011090T
456,CPCT02011093T
457,CPCT02011094T
458,CPCT02011097T
459,CPCT02011098T
460,CPCT02011102T
461,CPCT02011105T
462,CPCT02011106T
463,CPCT02011107T
464,CPCT02011108T
465,CPCT02020105T
466,CPCT02020160TIII
467,CPCT02020171T
468,CPCT02020185T
469,CPCT02020186T
470,CPCT02020186TII
471,CPCT02020191T
472,CPCT02020192T
473,CPCT02020194T
474,CPCT02020195T
475,CPCT02020197T
476,CPCT02020201T
477,CPCT02020202T
478,CPCT02020203T
479,CPCT02020207T
480,CPCT02020212T
481,CPCT02020213T
482,CPCT02020215T
483,CPCT02020217T
484,CPCT02020218T
485,CPCT02020219T
486,CPCT02020223TII
487,CPCT02020224TII
488,CPCT02020231T
489,CPCT02020232TII
490,CPCT02020234T
491,CPCT02020235T
492,CPCT02020236T
493,CPCT02020238T
494,CPCT02020239T
495,CPCT02020240T
496,CPCT02020243T
497,CPCT02020245T
498,CPCT02020245TII
499,CPCT02020245TIII
500,CPCT02020246T
501,CPCT02020247T
502,CPCT02020248TII
503,CPCT02020249T
504,CPCT02020250T
505,CPCT02020257T
506,CPCT02020257TII
507,CPCT02020258T
508,CPCT02020258TII
509,CPCT02020264T
510,CPCT02020265T
511,CPCT02020267T
512,CPCT02020267TII
513,CPCT02020267TIII
514,CPCT02020268T
515,CPCT02020271T
516,CPCT02020272T
517,CPCT02020275T
518,CPCT02020276T
519,CPCT02020277T
520,CPCT02020277TII
521,CPCT02020278T
522,CPCT02020279T
523,CPCT02020281T
524,CPCT02020283T
525,CPCT02020285T
526,CPCT02020287T
527,CPCT02020288T
528,CPCT02020293T
529,CPCT02020294T
530,CPCT02020295T
531,CPCT02020298T
532,CPCT02020299T
533,CPCT02020303T
534,CPCT02020305T
535,CPCT02020306T
536,CPCT02020307T
537,CPCT02020308T
538,CPCT02020309T
539,CPCT02020310T
540,CPCT02020313T
541,CPCT02020314T
542,CPCT02020315T
543,CPCT02020319T
544,CPCT02020320T
545,CPCT02020322T
546,CPCT02020323T
547,CPCT02020325T
548,CPCT02020326T
549,CPCT02020330T
550,CPCT02020333T
551,CPCT02020334T
552,CPCT02020337T
553,CPCT02020340T
554,CPCT02020341T
555,CPCT02020342T
556,CPCT02020343T
557,CPCT02020344T
558,CPCT02020345T
559,CPCT02020345TII
560,CPCT02020347T
561,CPCT02020348T
562,CPCT02020350T
563,CPCT02020351T
564,CPCT02020351TII
565,CPCT02020353T
566,CPCT02020356T
567,CPCT02020357T
568,CPCT02020358T
569,CPCT02020362T
570,CPCT02020369T
571,CPCT02020370T
572,CPCT02020371T
573,CPCT02020373T
574,CPCT02020376T
575,CPCT02020377T
576,CPCT02020378T
577,CPCT02020380T
578,CPCT02020380TII
579,CPCT02020382T
580,CPCT02020383T
581,CPCT02020385T
582,CPCT02020386T
583,CPCT02020387T
584,CPCT02020388T
585,CPCT02020389T
586,CPCT02020393T
587,CPCT02020394T
588,CPCT02020398T
589,CPCT02020401T
590,CPCT02020403T
591,CPCT02020407T
592,CPCT02020408T
593,CPCT02020409T
594,CPCT02020410T
595,CPCT02020412T
596,CPCT02020413T
597,CPCT02020413TII
598,CPCT02020414T
599,CPCT02020417T
600,CPCT02020419T
601,CPCT02020420T
602,CPCT02020421T
603,CPCT02020422T
604,CPCT02020423T
605,CPCT02020426T
606,CPCT02020428T
607,CPCT02020429T
608,CPCT02020434T
609,CPCT02020436T
610,CPCT02020438T
611,CPCT02020441T
612,CPCT02020442T
613,CPCT02020444T
614,CPCT02020445T
615,CPCT02020447T
616,CPCT02020449T
617,CPCT02020450T
618,CPCT02020452T
619,CPCT02020454T
620,CPCT02020458T
621,CPCT02020459T
622,CPCT02020460T
623,CPCT02020464T
624,CPCT02020465T
625,CPCT02020466T
626,CPCT02020473T
627,CPCT02020474T
628,CPCT02020475T
629,CPCT02020476T
630,CPCT02020478T
631,CPCT02020480T
632,CPCT02020482T
633,CPCT02020483T
634,CPCT02020485T
635,CPCT02020486T
636,CPCT02020487T
637,CPCT02020490T
638,CPCT02020492T
639,CPCT02020493T
640,CPCT02020493TII
641,CPCT02020494T
642,CPCT02020497T
643,CPCT02020499T
644,CPCT02020500T
645,CPCT02020501T
646,CPCT02020502T
647,CPCT02020503T
648,CPCT02020505T
649,CPCT02020506T
650,CPCT02020506TII
651,CPCT02020508T
652,CPCT02020509T
653,CPCT02020511T
654,CPCT02020512T
655,CPCT02020513T
656,CPCT02020514T
657,CPCT02020516T
658,CPCT02020517T
659,CPCT02020519T
660,CPCT02020520T
661,CPCT02020521T
662,CPCT02020525T
663,CPCT02020526T
664,CPCT02020527T
665,CPCT02020535T
666,CPCT02020536T
667,CPCT02020539T
668,CPCT02020541T
669,CPCT02020542T
670,CPCT02020543T
671,CPCT02020544T
672,CPCT02020545T
673,CPCT02020546T
674,CPCT02020553T
675,CPCT02020554T
676,CPCT02020555T
677,CPCT02020559T
678,CPCT02020560T
679,CPCT02020561T
680,CPCT02020565T
681,CPCT02020566T
682,CPCT02020568T
683,CPCT02020572T
684,CPCT02020573T
685,CPCT02020574T
686,CPCT02020577T
687,CPCT02020578T
688,CPCT02020579T
689,CPCT02020580T
690,CPCT02020582T
691,CPCT02020583T
692,CPCT02020583TII
693,CPCT02020586T
694,CPCT02020587T
695,CPCT02020589T
696,CPCT02020591T
697,CPCT02020592T
698,CPCT02020593T
699,CPCT02020596T
700,CPCT02020597T
701,CPCT02020597TII
702,CPCT02020597TIII
703,CPCT02020598T
704,CPCT02020599T
705,CPCT02020600T
706,CPCT02020607T
707,CPCT02020609T
708,CPCT02020610T
709,CPCT02020611T
710,CPCT02020614T
711,CPCT02020615T
712,CPCT02020617T
713,CPCT02020619T
714,CPCT02020620T
715,CPCT02020621TII
716,CPCT02020622T
717,CPCT02020623T
718,CPCT02020626T
719,CPCT02020628T
720,CPCT02020629T
721,CPCT02020630T
722,CPCT02020632T
723,CPCT02020633T
724,CPCT02020633TII
725,CPCT02020635T
726,CPCT02020636T
727,CPCT02020637T
728,CPCT02020641T
729,CPCT02020642TII
730,CPCT02020643T
731,CPCT02020646T
732,CPCT02020648T
733,CPCT02020650T
734,CPCT02020651T
735,CPCT02020653T
736,CPCT02020656T
737,CPCT02020656TII
738,CPCT02020657T
739,CPCT02020658T
740,CPCT02020659T
741,CPCT02020662T
742,CPCT02020664T
743,CPCT02020665T
744,CPCT02020666T
745,CPCT02020667T
746,CPCT02020670T
747,CPCT02020670TII
748,CPCT02020671T
749,CPCT02020672T
750,CPCT02020673T
751,CPCT02020678T
752,CPCT02020678TII
753,CPCT02020680T
754,CPCT02020682T
755,CPCT02020683T
756,CPCT02020684T
757,CPCT02020685T
758,CPCT02020686T
759,CPCT02020687T
760,CPCT02020688T
761,CPCT02020690T
762,CPCT02020691T
763,CPCT02020692T
764,CPCT02020693T
765,CPCT02020694T
766,CPCT02020695T
767,CPCT02020696T
768,CPCT02020700T
769,CPCT02020703T
770,CPCT02020704T
771,CPCT02020704TII
772,CPCT02020706T
773,CPCT02020711T
774,CPCT02020712T
775,CPCT02020714T
776,CPCT02020715T
777,CPCT02020716T
778,CPCT02020717T
779,CPCT02020718T
780,CPCT02020719T
781,CPCT02020720T
782,CPCT02020721T
783,CPCT02020723T
784,CPCT02020731T
785,CPCT02020734T
786,CPCT02020736T
787,CPCT02020739T
788,CPCT02020740T
789,CPCT02020741T
790,CPCT02020743T
791,CPCT02020744T
792,CPCT02020750T
793,CPCT02020752T
794,CPCT02020757T
795,CPCT02020759T
796,CPCT02020760T
797,CPCT02020762T
798,CPCT02020764T
799,CPCT02020765T
800,CPCT02020767T
801,CPCT02020770T
802,CPCT02020773T
803,CPCT02020775T
804,CPCT02020778T
805,CPCT02020780T
806,CPCT02020781T
807,CPCT02020784T
808,CPCT02020785T
809,CPCT02020787T
810,CPCT02020788T
811,CPCT02020789T
812,CPCT02020790T
813,CPCT02020791T
814,CPCT02020794T
815,CPCT02020795T
816,CPCT02020800T
817,CPCT02020801T
818,CPCT02020802T
819,CPCT02020804T
820,CPCT02020807T
821,CPCT02020808T
822,CPCT02020810T
823,CPCT02020812T
824,CPCT02020813T
825,CPCT02020817T
826,CPCT02020819T
827,CPCT02020820T
828,CPCT02020821T
829,CPCT02020822T
830,CPCT02020824T
831,CPCT02020827T
832,CPCT02020828T
833,CPCT02020829T
834,CPCT02020830T
835,CPCT02020832T
836,CPCT02020837T
837,CPCT02020837TII
838,CPCT02020839T
839,CPCT02020840T
840,CPCT02020847T
841,CPCT02020848T
842,CPCT02020852T
843,CPCT02020853T
844,CPCT02020854T
845,CPCT02020857T
846,CPCT02020859T
847,CPCT02020861T
848,CPCT02020863T
849,CPCT02020865T
850,CPCT02020866T
851,CPCT02020867T
852,CPCT02020868T
853,CPCT02020876T
854,CPCT02020879T
855,CPCT02020886T
856,CPCT02020887T
857,CPCT02020888T
858,CPCT02020891T
859,CPCT02020894T
860,CPCT02020895T
861,CPCT02020895TII
862,CPCT02020896T
863,CPCT02020897T
864,CPCT02020898T
865,CPCT02020901T
866,CPCT02020902T
867,CPCT02020903T
868,CPCT02020906T
869,CPCT02020910T
870,CPCT02020912T
871,CPCT02020914T
872,CPCT02020915T
873,CPCT02020916T
874,CPCT02020918T
875,CPCT02020918TII
876,CPCT02020919T
877,CPCT02020920T
878,CPCT02020922T
879,CPCT02020924T
880,CPCT02020924TII
881,CPCT02020925T
882,CPCT02020930T
883,CPCT02020931T
884,CPCT02020933T
885,CPCT02020934T
886,CPCT02020937T
887,CPCT02020938T
888,CPCT02020938TII
889,CPCT02020939T
890,CPCT02020940T
891,CPCT02020940TII
892,CPCT02020942T
893,CPCT02020946T
894,CPCT02020947T
895,CPCT02020949T
896,CPCT02020951T
897,CPCT02020952T
898,CPCT02020955T
899,CPCT02020956T
900,CPCT02020958T
901,CPCT02020958TII
902,CPCT02020959T
903,CPCT02020960T
904,CPCT02020964T
905,CPCT02020965T
906,CPCT02020966T
907,CPCT02020968T
908,CPCT02020969T
909,CPCT02020970T
910,CPCT02020971T
911,CPCT02020972T
912,CPCT02020973T
913,CPCT02020975T
914,CPCT02020977T
915,CPCT02020979T
916,CPCT02020981T
917,CPCT02020982T
918,CPCT02020983T
919,CPCT02020984T
920,CPCT02020986T
921,CPCT02020988T
922,CPCT02020989T
923,CPCT02020991T
924,CPCT02020993T
925,CPCT02020996T
926,CPCT02020997T
927,CPCT02030213T
928,CPCT02030216TII
929,CPCT02030218TII
930,CPCT02030218TIII
931,CPCT02030220T
932,CPCT02030221T
933,CPCT02030224T
934,CPCT02030225T
935,CPCT02030226T
936,CPCT02030227T
937,CPCT02030233T
938,CPCT02030234T
939,CPCT02030237T
940,CPCT02030238T
941,CPCT02030242T
942,CPCT02030243T
943,CPCT02030245T
944,CPCT02030246T
945,CPCT02030246TII
946,CPCT02030247T
947,CPCT02030250T
948,CPCT02030256T
949,CPCT02030257T
950,CPCT02030258T
951,CPCT02030259TII
952,CPCT02030259TIII
953,CPCT02030261T
954,CPCT02030262T
955,CPCT02030264T
956,CPCT02030265T
957,CPCT02030265TII
958,CPCT02030269T
959,CPCT02030270T
960,CPCT02030271T
961,CPCT02030272T
962,CPCT02030274T
963,CPCT02030275T
964,CPCT02030276T
965,CPCT02030277T
966,CPCT02030278T
967,CPCT02030279T
968,CPCT02030280T
969,CPCT02030284T
970,CPCT02030285T
971,CPCT02030286T
972,CPCT02030289T
973,CPCT02030289TII
974,CPCT02030289TIII
975,CPCT02030290T
976,CPCT02030291T
977,CPCT02030294T
978,CPCT02030296T
979,CPCT02030299T
980,CPCT02030300T
981,CPCT02030302T
982,CPCT02030303T
983,CPCT02030304T
984,CPCT02030305T
985,CPCT02030306T
986,CPCT02030307T
987,CPCT02030310T
988,CPCT02030318T
989,CPCT02030319T
990,CPCT02030320T
991,CPCT02030323T
992,CPCT02030324T
993,CPCT02030325T
994,CPCT02030326T
995,CPCT02030327T
996,CPCT02030328T
997,CPCT02030329T
998,CPCT02030330T
999,CPCT02030331T
1000,CPCT02030332T
1001,CPCT02030335T
1002,CPCT02030336T
1003,CPCT02030337TII
1004,CPCT02030339T
1005,CPCT02030339TII
1006,CPCT02030340T
1007,CPCT02030343T
1008,CPCT02030347T
1009,CPCT02030350T
1010,CPCT02030351T
1011,CPCT02030354T
1012,CPCT02030355T
1013,CPCT02030356T
1014,CPCT02030357T
1015,CPCT02030361T
1016,CPCT02030363T
1017,CPCT02030366T
1018,CPCT02030367T
1019,CPCT02030368T
1020,CPCT02030369T
1021,CPCT02030370T
1022,CPCT02030371T
1023,CPCT02030374T
1024,CPCT02030375T
1025,CPCT02030376T
1026,CPCT02030377T
1027,CPCT02030380T
1028,CPCT02030380TII
1029,CPCT02030381T
1030,CPCT02030382T
1031,CPCT02030383T
1032,CPCT02030384T
1033,CPCT02030385T
1034,CPCT02030386T
1035,CPCT02030387T
1036,CPCT02030392T
1037,CPCT02030394T
1038,CPCT02030396T
1039,CPCT02030397T
1040,CPCT02030398T
1041,CPCT02030399T
1042,CPCT02030400T
1043,CPCT02030408T
1044,CPCT02030409T
1045,CPCT02030410T
1046,CPCT02030415T
1047,CPCT02030416T
1048,CPCT02030417T
1049,CPCT02030421T
1050,CPCT02030422T
1051,CPCT02030426T
1052,CPCT02030428T
1053,CPCT02030430T
1054,CPCT02030431T
1055,CPCT02030434T
1056,CPCT02030435T
1057,CPCT02030437T
1058,CPCT02030440T
1059,CPCT02030441T
1060,CPCT02030442T
1061,CPCT02030443T
1062,CPCT02030445T
1063,CPCT02030447T
1064,CPCT02030448T
1065,CPCT02030450T
1066,CPCT02030451T
1067,CPCT02030453T
1068,CPCT02030454T
1069,CPCT02030455T
1070,CPCT02030458T
1071,CPCT02030461T
1072,CPCT02030463T
1073,CPCT02030464T
1074,CPCT02030465T
1075,CPCT02030466T
1076,CPCT02030467T
1077,CPCT02030468T
1078,CPCT02030471T
1079,CPCT02030472T
1080,CPCT02030476T
1081,CPCT02030477T
1082,CPCT02030478T
1083,CPCT02030479T
1084,CPCT02030482T
1085,CPCT02030483T
1086,CPCT02030484T
1087,CPCT02030487T
1088,CPCT02030488T
1089,CPCT02030490T
1090,CPCT02030492T
1091,CPCT02030493T
1092,CPCT02030495T
1093,CPCT02030498T
1094,CPCT02030499T
1095,CPCT02030500T
1096,CPCT02030501T
1097,CPCT02030505T
1098,CPCT02030506T
1099,CPCT02030509T
1100,CPCT02030510T
1101,CPCT02030513T
1102,CPCT02030514T
1103,CPCT02030516T
1104,CPCT02030517T
1105,CPCT02030519T
1106,CPCT02030520T
1107,CPCT02030521T
1108,CPCT02030522T
1109,CPCT02030528T
1110,CPCT02030529T
1111,CPCT02030532T
1112,CPCT02030537T
1113,CPCT02030543T
1114,CPCT02030545T
1115,CPCT02030546T
1116,CPCT02030547T
1117,CPCT02030548T
1118,CPCT02030549T
1119,CPCT02030550T
1120,CPCT02030551TII
1121,CPCT02030552T
1122,CPCT02030553T
1123,CPCT02030555T
1124,CPCT02030556T
1125,CPCT02040007T
1126,CPCT02040008T
1127,CPCT02040011T
1128,CPCT02040012T
1129,CPCT02040013T
1130,CPCT02040014T
1131,CPCT02040017T
1132,CPCT02040018T
1133,CPCT02040020T
1134,CPCT02040021T
1135,CPCT02040021TII
1136,CPCT02040027T
1137,CPCT02040031T
1138,CPCT02040035T
1139,CPCT02040036T
1140,CPCT02040038T
1141,CPCT02040039T
